RANGO ETARIO,NIVEL EDUCACIONAL,SEXO,ESTADO CIVIL,ACTIVIDAD,ESTADO ACTUAL,AÑO APERTURA TARJETA,CUPO MÁXIMO,PORCENTAJE DE USO DEL CUPO,VECES QUE COMPRA EN PROMEDIO AL AÑO,UNIDADES COMPRADAS DEL PRODUCTO A,UNIDADES COMPRADAS DEL PRODUCTO B,CANTIDAD HISTORICA DE ATRASOS EN PAGOS,COMPRA PRODUCTO EN PROMOCIÓN
MENOR QUE 30,ESTUDIANTE UNIVERSITARIO,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2014,"301,500",100.0%,6,0,5,16,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2006,"301,500",0.0%,6,2,3,23,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,VIUDO,DEPENDIENTE,SIN DEUDA,2011,"4,711,251",100.0%,9,5,3,15,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,6,3,0,1,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2012,"301,500",34.8%,6,9,3,21,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"1,219,411",100.0%,7,9,8,3,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,8,8,10,NO
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",15.6%,8,0,6,22,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SEPARADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",0.0%,7,4,9,13,SI
ENTRE 30 Y 40,ESTUDIANTE UNIVERSITARIO,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,5,4,15,SI
MENOR QUE 30,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,SIN DEUDA,2013,"301,500",0.0%,6,3,4,3,NO
MENOR QUE 30,EDUC. TÉCNICA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,5,9,2,16,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.0%,5,8,8,17,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2011,"301,500",0.0%,7,0,10,1,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,8,9,5,24,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2008,"301,500",0.0%,5,0,1,0,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"301,500",0.0%,5,3,9,17,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,CASADO, ,SIN DEUDA,2006,"301,500",0.0%,5,3,5,17,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",48.9%,11,1,3,16,SI
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",0.0%,5,2,3,4,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2014,"602,397",100.0%,6,9,2,2,SI
ENTRE 40 Y 50,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",0.0%,5,7,3,25,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2010,"501,774",100.0%,5,8,2,14,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2013,"1,106,583",100.0%,8,7,2,15,NO
ENTRE 40 Y 50,EDUC. UNIVERSITARIA,FEMENINO,CASADO,DEPENDIENTE,SIN DEUDA,2009,"301,500",100.0%,7,3,10,16,NO
ENTRE 40 Y 50,EDUC. TÉCNICA,FEMENINO,SOLTERO,EMPRESARIO,SIN DEUDA,2011,"301,500",0.0%,5,5,4,13,NO
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,SIN DEUDA,2013,"1,840,537",100.0%,7,5,9,8,NO
MAYOR QUE 50,EDUC. MEDIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2006,"301,500",0.4%,5,7,2,18,NO
MAYOR QUE 50,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,EMPRESARIO,SIN DEUDA,2014,"301,500",0.0%,8,2,3,20,SI
MAYOR QUE 50,EDUC. TÉCNICA,MASCULINO,CASADO,DEPENDIENTE,DEUDA DE 2 MESES,2008,"301,500",58.6%,6,1,0,3,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2010,"301,500",0.4%,7,4,1,15,NO
MAYOR QUE 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"301,500",72.9%,9,5,10,7,SI
ENTRE 30 Y 40,EDUC. UNIVERSITARIA,FEMENINO,SOLTERO,ESTUDIANTE,DEUDA DE 2 MESES,2010,"301,500",0.0%,6,1,0,24,NO
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2007,"625,546",100.0%,7,8,3,13,SI
MAYOR QUE 50,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,DEUDA DE 1 MES,2009,"301,500",49.8%,5,8,4,17,NO
MENOR QUE 30,EDUC. UNIVERSITARIA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2011,"301,500",0.0%,8,4,0,15,SI
ENTRE 30 Y 40,EDUC. TÉCNICA,MASCULINO,SOLTERO,DEPENDIENTE,SIN DEUDA,2005,"301,500",0.0%,5,2,9,24,SI
ENTRE 40 Y 50,ESTUDIANTE UNIVERSITARIO,FEMENINO,SOLTERO,DEPENDIENTE,DEUDA DE 2 MESES,2005,"301,500",68.3%,7,1,7,23,SI
